x,y,z,Сharge level
1.499938965,-0.6912231445,-0.5996704102,0
0,-0.8712768555,0.9002685547,0
0.5996704102,0.1693725586,0.3005981445,0
-0.3005981445,-0.3509521484,0.5996704102,0
0.2990722656,-0.3509521484,0.5996704102,0
0.2990722656,-0.3509521484,1.19934082,0
-0.3005981445,-0.1708984375,-0.3005981445,0
0.5996704102,0.5187988281,0.3005981445,0
-0.9002685547,0.6896972656,0,0
-0.9002685547,0.5187988281,-0.3005981445,0
1.19934082,-0.520324707,0.9002685547,0
-0.6011962891,0,-0.5996704102,0
0.5996704102,0,0,0
0.5996704102,-0.520324707,0.3005981445,0
-0.6011962891,-0.1708984375,-0.3005981445,0
-0.6011962891,-0.1708984375,-1.499938965,0
-0.9002685547,0.6896972656,0,0
-0.6011962891,-0.8712768555,-0.3005981445,0
-0.3005981445,-0.520324707,-0.3005981445,0
-0.3005981445,0,-0.5996704102,0
0,-0.3509521484,-0.5996704102,0
-0.3005981445,0,-1.19934082,0
-0.3005981445,0.3494262695,0,0
-0.9002685547,0.8590698242,0.3005981445,0
-0.3005981445,0.3494262695,0,0
-0.3005981445,0.3494262695,-1.19934082,0
-0.6011962891,0.3494262695,0,0
-0.6011962891,0,0.5996704102,0
-0.6011962891,0.6896972656,-1.19934082,0
-0.9002685547,0.3494262695,0.5996704102,0
-0.9002685547,-0.3509521484,0.5996704102,0
-0.3005981445,0,-1.19934082,0
-0.3005981445,0.3494262695,0.5996704102,0
-0.3005981445,0.3494262695,0,0
-0.9002685547,1.210021973,-0.3005981445,0
-0.9002685547,0.6896972656,0,0
-1.200866699,0.8590698242,0.3005981445,0
-0.6011962891,0.5187988281,-0.9002685547,0
-0.6011962891,0.1693725586,-0.9002685547,0
-0.3005981445,-0.1708984375,0.3005981445,0
1.19934082,-0.520324707,-0.3005981445,0
-1.499938965,1.039123535,0,0
-0.3005981445,-0.1708984375,-1.499938965,0
-1.200866699,1.039123535,-0.5996704102,0
